team,position,player_name,depth_rank,is_starter,is_fantasy_relevant,last_updated
BUF,QB,Josh Allen,1,True,True,2025-10-24 08:36:07
BUF,RB,James Cook,1,True,True,2025-10-24 08:36:07
BUF,RB,Ty Johnson,2,False,True,2025-10-24 08:36:07
BUF,RB,Ray Davis,3,False,True,2025-10-24 08:36:07
BUF,WR,Khalil Shakir,1,True,True,2025-10-24 08:36:07
BUF,WR,Keon Coleman,2,False,True,2025-10-24 08:36:07
BUF,WR,Mack Hollins,3,False,True,2025-10-24 08:36:07
BUF,WR,Curtis Samuel,4,False,True,2025-10-24 08:36:07
BUF,TE,Dalton Kincaid,1,True,True,2025-10-24 08:36:07
BUF,TE,Dawson Knox,2,False,True,2025-10-24 08:36:07
MIA,QB,Tua Tagovailoa,1,True,True,2025-10-24 08:36:07
MIA,RB,De'Von Achane,1,True,True,2025-10-24 08:36:07
MIA,RB,Raheem Mostert,2,False,True,2025-10-24 08:36:07
MIA,RB,Jaylen Wright,3,False,True,2025-10-24 08:36:07
MIA,WR,Tyreek Hill,1,True,True,2025-10-24 08:36:07
MIA,WR,Jaylen Waddle,2,False,True,2025-10-24 08:36:07
MIA,WR,Odell Beckham Jr.,3,False,True,2025-10-24 08:36:07
MIA,WR,Malik Washington,4,False,True,2025-10-24 08:36:07
MIA,TE,Jonnu Smith,1,True,True,2025-10-24 08:36:07
MIA,TE,Durham Smythe,2,False,True,2025-10-24 08:36:07
NYJ,QB,Aaron Rodgers,1,True,True,2025-10-24 08:36:07
NYJ,RB,Breece Hall,1,True,True,2025-10-24 08:36:07
NYJ,RB,Braelon Allen,2,False,True,2025-10-24 08:36:07
NYJ,RB,Isaiah Davis,3,False,True,2025-10-24 08:36:07
NYJ,WR,Garrett Wilson,1,True,True,2025-10-24 08:36:07
NYJ,WR,Davante Adams,2,False,True,2025-10-24 08:36:07
NYJ,WR,Allen Lazard,3,False,True,2025-10-24 08:36:07
NYJ,WR,Mike Williams,4,False,True,2025-10-24 08:36:07
NYJ,TE,Tyler Conklin,1,True,True,2025-10-24 08:36:07
NYJ,TE,Jeremy Ruckert,2,False,True,2025-10-24 08:36:07
NE,QB,Drake Maye,1,True,True,2025-10-24 08:36:07
NE,RB,Rhamondre Stevenson,1,True,True,2025-10-24 08:36:07
NE,RB,Antonio Gibson,2,False,True,2025-10-24 08:36:07
NE,RB,JaMycal Hasty,3,False,True,2025-10-24 08:36:07
NE,WR,DeMario Douglas,1,True,True,2025-10-24 08:36:07
NE,WR,Kayshon Boutte,2,False,True,2025-10-24 08:36:07
NE,WR,Kendrick Bourne,3,False,True,2025-10-24 08:36:07
NE,WR,Ja'Lynn Polk,4,False,True,2025-10-24 08:36:07
NE,TE,Hunter Henry,1,True,True,2025-10-24 08:36:07
NE,TE,Austin Hooper,2,False,True,2025-10-24 08:36:07
BAL,QB,Lamar Jackson,1,True,True,2025-10-24 08:36:07
BAL,RB,Derrick Henry,1,True,True,2025-10-24 08:36:07
BAL,RB,Justice Hill,2,False,True,2025-10-24 08:36:07
BAL,RB,Keaton Mitchell,3,False,True,2025-10-24 08:36:07
BAL,WR,Zay Flowers,1,True,True,2025-10-24 08:36:07
BAL,WR,Rashod Bateman,2,False,True,2025-10-24 08:36:07
BAL,WR,Nelson Agholor,3,False,True,2025-10-24 08:36:07
BAL,WR,Diontae Johnson,4,False,True,2025-10-24 08:36:07
BAL,TE,Mark Andrews,1,True,True,2025-10-24 08:36:07
BAL,TE,Isaiah Likely,2,False,True,2025-10-24 08:36:07
CIN,QB,Joe Burrow,1,True,True,2025-10-24 08:36:07
CIN,RB,Chase Brown,1,True,True,2025-10-24 08:36:07
CIN,RB,Zack Moss,2,False,True,2025-10-24 08:36:07
CIN,RB,Trayveon Williams,3,False,True,2025-10-24 08:36:07
CIN,WR,Ja'Marr Chase,1,True,True,2025-10-24 08:36:07
CIN,WR,Tee Higgins,2,False,True,2025-10-24 08:36:07
CIN,WR,Andrei Iosivas,3,False,True,2025-10-24 08:36:07
CIN,WR,Jermaine Burton,4,False,True,2025-10-24 08:36:07
CIN,TE,Mike Gesicki,1,True,True,2025-10-24 08:36:07
CIN,TE,Drew Sample,2,False,True,2025-10-24 08:36:07
CLE,QB,Deshaun Watson,1,True,True,2025-10-24 08:36:07
CLE,RB,Nick Chubb,1,True,True,2025-10-24 08:36:07
CLE,RB,Jerome Ford,2,False,True,2025-10-24 08:36:07
CLE,RB,D'Onta Foreman,3,False,True,2025-10-24 08:36:07
CLE,WR,Jerry Jeudy,1,True,True,2025-10-24 08:36:07
CLE,WR,Elijah Moore,2,False,True,2025-10-24 08:36:07
CLE,WR,Cedric Tillman,3,False,True,2025-10-24 08:36:07
CLE,WR,Jamari Thrash,4,False,True,2025-10-24 08:36:07
CLE,TE,David Njoku,1,True,True,2025-10-24 08:36:07
CLE,TE,Jordan Akins,2,False,True,2025-10-24 08:36:07
PIT,QB,Russell Wilson,1,True,True,2025-10-24 08:36:07
PIT,RB,Najee Harris,1,True,True,2025-10-24 08:36:07
PIT,RB,Jaylen Warren,2,False,True,2025-10-24 08:36:07
PIT,RB,Cordarrelle Patterson,3,False,True,2025-10-24 08:36:07
PIT,WR,George Pickens,1,True,True,2025-10-24 08:36:07
PIT,WR,Van Jefferson,2,False,True,2025-10-24 08:36:07
PIT,WR,Calvin Austin III,3,False,True,2025-10-24 08:36:07
